GRAPH_NAME,GRAPH_URL,THREADS,ANALYSIS_TYPE
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,2,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,8,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,16,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,32,hpc-performance
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,64,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,2,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,8,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,16,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,32,hpc-performance
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,64,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,1,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,2,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,4,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,8,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,16,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,32,hpc-performance
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,64,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,1,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,2,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,4,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,8,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,16,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,32,hpc-performance
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,64,hpc-performance
